timestamp,sensor,value,unit,label,attack_type,sensor_mean,sensor_std,z_score,zscore_pred,iforest_pred,anomaly_score,final_pred
2024-01-01 08:00:05,temperature,322.484,°C,normal,none,320.510535,6.452271977928464,0.306,normal,normal,0.06,normal
2024-01-01 08:00:05,pressure,150.0,PSI,attack,freeze,150.054205,4.848113353503309,0.011,normal,normal,0.0785,normal
2024-01-01 08:00:05,flow_rate,245.182,L/min,normal,none,242.34416000000002,16.21008124204715,0.175,normal,normal,0.1039,normal
2024-01-01 08:00:05,voltage,456.914,V,attack,spike,480.8969,6.652671366568306,3.605,attack,attack,-0.153,attack
2024-01-01 08:00:05,vibration,0.265,mm/s,attack,spike,0.5218849999999999,0.0886295535575978,2.898,attack,attack,-0.1376,attack
2024-01-01 08:00:10,temperature,318.829,°C,normal,none,320.510535,6.452271977928464,0.261,normal,normal,0.0786,normal
2024-01-01 08:00:10,pressure,154.738,PSI,normal,none,150.054205,4.848113353503309,0.966,normal,normal,0.0575,normal
2024-01-01 08:00:10,flow_rate,246.139,L/min,normal,none,242.34416000000002,16.21008124204715,0.234,normal,normal,0.0956,normal
2024-01-01 08:00:10,voltage,478.122,V,normal,none,480.8969,6.652671366568306,0.417,normal,normal,0.0732,normal
2024-01-01 08:00:10,vibration,0.527,mm/s,normal,none,0.5218849999999999,0.0886295535575978,0.058,normal,normal,0.0255,normal
2024-01-01 08:00:15,temperature,317.683,°C,normal,none,320.510535,6.452271977928464,0.438,normal,normal,0.0706,normal
2024-01-01 08:00:15,pressure,148.603,PSI,normal,none,150.054205,4.848113353503309,0.299,normal,normal,0.089,normal
2024-01-01 08:00:15,flow_rate,241.936,L/min,normal,none,242.34416000000002,16.21008124204715,0.025,normal,normal,0.0831,normal
2024-01-01 08:00:15,voltage,472.347,V,normal,none,480.8969,6.652671366568306,1.285,normal,attack,-0.029,attack
2024-01-01 08:00:15,vibration,0.414,mm/s,normal,none,0.5218849999999999,0.0886295535575978,1.217,normal,attack,-0.0157,attack
2024-01-01 08:00:20,temperature,317.189,°C,normal,none,320.510535,6.452271977928464,0.515,normal,normal,0.0634,normal
2024-01-01 08:00:20,pressure,146.962,PSI,normal,none,150.054205,4.848113353503309,0.638,normal,normal,0.0754,normal
2024-01-01 08:00:20,flow_rate,242.514,L/min,normal,none,242.34416000000002,16.21008124204715,0.01,normal,normal,0.0728,normal
2024-01-01 08:00:20,voltage,476.368,V,normal,none,480.8969,6.652671366568306,0.681,normal,normal,0.051,normal
2024-01-01 08:00:20,vibration,0.5,mm/s,attack,freeze,0.5218849999999999,0.0886295535575978,0.247,normal,normal,0.0747,normal
2024-01-01 08:00:25,temperature,320.0,°C,attack,freeze,320.510535,6.452271977928464,0.079,normal,normal,0.0917,normal
2024-01-01 08:00:25,pressure,149.323,PSI,normal,none,150.054205,4.848113353503309,0.151,normal,normal,0.0834,normal
2024-01-01 08:00:25,flow_rate,240.54,L/min,normal,none,242.34416000000002,16.21008124204715,0.111,normal,normal,0.1077,normal
2024-01-01 08:00:25,voltage,474.301,V,normal,none,480.8969,6.652671366568306,0.991,normal,normal,0.0203,normal
2024-01-01 08:00:25,vibration,0.473,mm/s,normal,none,0.5218849999999999,0.0886295535575978,0.552,normal,normal,0.075,normal
2024-01-01 08:00:30,temperature,320.555,°C,normal,none,320.510535,6.452271977928464,0.007,normal,normal,0.0513,normal
2024-01-01 08:00:30,pressure,146.547,PSI,normal,none,150.054205,4.848113353503309,0.723,normal,normal,0.0751,normal
2024-01-01 08:00:30,flow_rate,243.006,L/min,normal,none,242.34416000000002,16.21008124204715,0.041,normal,normal,0.0819,normal
2024-01-01 08:00:30,voltage,477.597,V,normal,none,480.8969,6.652671366568306,0.496,normal,normal,0.0711,normal
2024-01-01 08:00:30,vibration,0.485,mm/s,normal,none,0.5218849999999999,0.0886295535575978,0.416,normal,normal,0.0678,normal
2024-01-01 08:00:35,temperature,316.991,°C,normal,none,320.510535,6.452271977928464,0.545,normal,normal,0.0605,normal
2024-01-01 08:00:35,pressure,155.557,PSI,normal,none,150.054205,4.848113353503309,1.135,normal,normal,0.0436,normal
2024-01-01 08:00:35,flow_rate,239.892,L/min,normal,none,242.34416000000002,16.21008124204715,0.151,normal,normal,0.1113,normal
2024-01-01 08:00:35,voltage,507.823,V,attack,spike,480.8969,6.652671366568306,4.047,attack,attack,-0.1851,attack
